query_id,query,chunk_id,page,bm25_rank,vec_rank,chunk_preview,label
q003,在大学想有所发展但是拖延怎么办？,p9_c0,9,11,19,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,0
q003,在大学想有所发展但是拖延怎么办？,p20_c0,20,10000,11,华南师范大学学生心理健康教研室 —21— 247. 大学学习与高中学习特点的比较： （1）学习目标：高中是考上大学，大学是成为社会需要的优秀人才，对大学生提出 的要求是掌握专门的知识，培养专门能力，提高综合素质。 （2）学习主动性：高中是学,0
q003,在大学想有所发展但是拖延怎么办？,p20_c1,20,15,10000,251. 目标制定的SMART 原则中，T 为时间节点，其含义为：目标要有一个时间节点。有 时候拖延是你自己不给节点。 252. 大学四年级为求职准备阶段。一般情况下，毕业班学生主要以完成实习与毕业论文， 提升求职技巧，为升学就业做充分准备,1
q003,在大学想有所发展但是拖延怎么办？,p2_c0,2,19,10000,华南师范大学学生心理健康教研室 —3— 31. 一般而言，权威型是对孩子最有利的一种教养方式。家长会给孩子提出合理的要求， 并对孩子的行为进行适当的限制。 32. 放纵型的家长对孩子表现出很多的爱与期待，但是很少对孩子提要求和对其行为进行 ,0
q003,在大学想有所发展但是拖延怎么办？,p4_c0,4,23,10000,华南师范大学学生心理健康教研室 —5— 52. 有效控制自我是健全自我意识的根本途径，有效地进行自我控制是为了保证自我的健 康发展。有效控制自我可以分为四个方面： （1）培养顽强的意志力； （2）塑造健全人格； （3）积极参加社会实践； （,0
q003,在大学想有所发展但是拖延怎么办？,p8_c0,8,10000,23,华南师范大学学生心理健康教研室 —9— 130. 大学学习具有专业性。大学生的学习是在确定了基本的专业方向后进行的，因此大学 生学习的职业定向性较为明确，即为将来走上工作岗位，适应社会需要进行学习。同 时，专业与学科群的划分也把大学学习与大,0
q003,在大学想有所发展但是拖延怎么办？,p11_c0,11,27,10000,华南师范大学学生心理健康教研室 —12— 148. 信息爆炸下究竟会产生哪些焦虑？ 其一，信息爆炸让我们感觉要学东西太多，时间不够用。 其二，要学习的东西太多，不知从何下手。 149. 越是背求自己要集中注意力，注意力越是跑到了“怕被干扰”,0
q003,在大学想有所发展但是拖延怎么办？,p17_c0,17,10000,27,华南师范大学学生心理健康教研室 —18— 227. 大学的价值： （1）大学给我们提供了一个良好的个人成长环境。我们在这里脱去稚气，成为一个 更为全面发展的人，为未来长远的人生打下坚实的基础。大学是一个让自我学会独立 的阶段。大学让我们更广,0
q003,在大学想有所发展但是拖延怎么办？,p4_c1,4,29,10000,验到更多的疲倦、焦虑和内疚等，甚至使负性情绪和拖延形成恶性循环。 60. 当否定性评价过多时，学生会产生“习得性无助”，这是一种严重的自我意识障碍， 它抑制了人改造与影响环境的能力，强化了顺从甚至屈从，并转化为一种内在信念。 有很多在中学时,0
q003,在大学想有所发展但是拖延怎么办？,p18_c1,18,10000,29,缺乏自信、自负、盲目从众依赖等心理问题，有一个重要原因，是因为他们没有一个 明确合理的求职目标，导致他们在求职过程中不知道什么样的工作适合自己，自然也 难以找到满意的工作，从而引发种种消极心态。 240. “备准”思维是没有明确目标，走一步,0
q004,压力所产生的反应有什么？,p12_c1,12,27,3,压力的生理反应包括： 肌肉紧张、心率加快、血压升高、呼吸频率改变等，长期压力可能导致心血管疾病、 消化系统问题等。 165. 压力的心理反应与生理反应的区别： 心理反应主要体现在认知（如注意力、记忆力）、情绪（如焦虑、易怒）等心理层面； 生,1
q004,压力所产生的反应有什么？,p10_c0,10,3,10000,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,0
q004,压力所产生的反应有什么？,p8_c1,8,7,10000,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
q004,压力所产生的反应有什么？,p11_c1,11,10000,7,人的支持、鼓励和帮助来达到化解压力的效果。 150. 压力的定义（汉斯·塞利）： 压力是躯体为了适应施加于它身上的任何需求而产生的非特定性反应，分为负性压力 （不愉快、消极痛苦，有阻碍性）和正性压力（愉快、满意，有挑战性，促进成长和 职业发,1
q004,压力所产生的反应有什么？,p12_c0,12,23,11,华南师范大学学生心理健康教研室 —13— 154. 正性压力的定义：正性压力是指能带来愉快、满意体验，具有挑战性，且能促进个体 成长和职业发展的压力类型。 155. 应激的三个阶段： 惊觉阶段（机体被激活处理问题）、 阻抗阶段（维护身体受损,1
q004,压力所产生的反应有什么？,p11_c0,11,15,19,华南师范大学学生心理健康教研室 —12— 148. 信息爆炸下究竟会产生哪些焦虑？ 其一，信息爆炸让我们感觉要学东西太多，时间不够用。 其二，要学习的东西太多，不知从何下手。 149. 越是背求自己要集中注意力，注意力越是跑到了“怕被干扰”,0
q004,压力所产生的反应有什么？,p13_c1,13,19,15,（专注当前任务）。 179. 精神性压力源：是直接阻碍和破坏个体正常精神需求的内在和外在事件，包括错误的 认识结构、个体不良经验、道德冲突及不良个性心理特点等。​ 180. 社会环境性压力源：是直接阻碍和破坏个体社会需求的事件，分为纯社会性,0
q004,压力所产生的反应有什么？,p9_c0,9,11,29,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,0
q004,压力所产生的反应有什么？,p13_c0,13,10000,23,华南师范大学学生心理健康教研室 —14— 168. 耶克斯- 多德森定律与任务难度的关系：对于简单任务，较高的压力水平可提高效 率；对于复杂任务，较低的压力水平更有利于发挥最佳水平。 169. 七好减压法：包括吃好、睡好、运动好、爱好、玩好,0
q004,压力所产生的反应有什么？,p14_c0,14,10000,27,华南师范大学学生心理健康教研室 —15— 185. 问题中心策略的典型做法：收集信息、制定计划、权衡办法、寻求帮助等。 186. 情绪中心策略的典型做法：通过调节自身情绪来应对压力，包括情绪宣泄、寻求情感 支持、改变认知角度、放松训练、转移,0
q004,压力所产生的反应有什么？,p18_c1,18,29,10000,缺乏自信、自负、盲目从众依赖等心理问题，有一个重要原因，是因为他们没有一个 明确合理的求职目标，导致他们在求职过程中不知道什么样的工作适合自己，自然也 难以找到满意的工作，从而引发种种消极心态。 240. “备准”思维是没有明确目标，走一步,0
q005,大学生的情绪有什么特点？,p8_c1,8,3,10000,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
q005,大学生的情绪有什么特点？,p17_c0,17,10000,3,华南师范大学学生心理健康教研室 —18— 227. 大学的价值： （1）大学给我们提供了一个良好的个人成长环境。我们在这里脱去稚气，成为一个 更为全面发展的人，为未来长远的人生打下坚实的基础。大学是一个让自我学会独立 的阶段。大学让我们更广,0
q005,大学生的情绪有什么特点？,p9_c0,9,7,10000,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,0
q005,大学生的情绪有什么特点？,p6_c0,6,10000,7,华南师范大学学生心理健康教研室 —7— 95. 情绪的自我沟通功能指情绪是了解自身状况的信号，如身体不适可能与情绪相关。 96. 情绪生理理论认为情绪与身体相互影响，长期情绪问题可能导致内分泌失调等。 97. 拉扎勒斯的次级评估是评估自身处,0
q005,大学生的情绪有什么特点？,p10_c0,10,11,10000,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,0
q005,大学生的情绪有什么特点？,p2_c1,2,10000,11,根据他人对自己的看法和评价而发展起对自己的认识，这个过程在人的一生中一直进 行着。 41. 大学生对自己的认知可以通过以下四个方面逐渐形成： 自己的行为、他人的反馈、反射性评价、社会比较。 42. 大学阶段是走向社会的准备和过渡阶段，大学生,0
q005,大学生的情绪有什么特点？,p18_c1,18,15,10000,缺乏自信、自负、盲目从众依赖等心理问题，有一个重要原因，是因为他们没有一个 明确合理的求职目标，导致他们在求职过程中不知道什么样的工作适合自己，自然也 难以找到满意的工作，从而引发种种消极心态。 240. “备准”思维是没有明确目标，走一步,1
q005,大学生的情绪有什么特点？,p0_c0,0,10000,15,华南师范大学学生心理健康教研室 —1— 大学生心理健康教育知识概要 1. 当前大学的心理健康问题具体表现在以下几个方面：对大学环境的不适应、恋爱与性 心理产生问题、自我定位的迷茫与困惑、求职择业的压力难以应对。 2. 大一生活适应的困惑期：,1
q005,大学生的情绪有什么特点？,p18_c0,18,19,10000,华南师范大学学生心理健康教研室 —19— 235. CASVE 循环的五个阶段是：沟通、分析、综合、评估和执行。 沟通（Communication）：识别问题的存在，找出差距。沟通是CASVE 决策过程中 的第一个阶段，人们意识到问题的存在,0
q005,大学生的情绪有什么特点？,p8_c0,8,10000,19,华南师范大学学生心理健康教研室 —9— 130. 大学学习具有专业性。大学生的学习是在确定了基本的专业方向后进行的，因此大学 生学习的职业定向性较为明确，即为将来走上工作岗位，适应社会需要进行学习。同 时，专业与学科群的划分也把大学学习与大,0
q005,大学生的情绪有什么特点？,p6_c1,6,23,10000,大学生人际交往的特点： （1）主体意识和平等意识增强，讲求交往的契合性； （2）重视横向关系；（3）理想化与社会化并存； （4）人际渴望与人际逃避并存。 112. 大学生人际交往的功能： （1）大学生交流信息、获取知识的重要途径； （2）大,0
q005,大学生的情绪有什么特点？,p20_c0,20,10000,23,华南师范大学学生心理健康教研室 —21— 247. 大学学习与高中学习特点的比较： （1）学习目标：高中是考上大学，大学是成为社会需要的优秀人才，对大学生提出 的要求是掌握专门的知识，培养专门能力，提高综合素质。 （2）学习主动性：高中是学,0
q005,大学生的情绪有什么特点？,p11_c0,11,27,10000,华南师范大学学生心理健康教研室 —12— 148. 信息爆炸下究竟会产生哪些焦虑？ 其一，信息爆炸让我们感觉要学东西太多，时间不够用。 其二，要学习的东西太多，不知从何下手。 149. 越是背求自己要集中注意力，注意力越是跑到了“怕被干扰”,0
q005,大学生的情绪有什么特点？,p5_c0,5,10000,27,华南师范大学学生心理健康教研室 —6— 65. 投射自我又称镜中我，是个体想象中他人对自己的看法、他人心目中自己的形象、他 人对自己的评价，以及由此而产生的自我感。 66. 理想自我又称理想我，是个体想要达到的完美形象，如个人对将来的期待，,0
q005,大学生的情绪有什么特点？,p9_c1,9,29,10000,自己的学习生活造成很大困扰，请尽快求助专业心理咨询人员。 139. 拖延症是指在能够预料后果有害的情况下，仍然把计划要做的事情往后推迟的一种行 为，是一种普遍存在的、有害的自我调节失败的形式。 140. 著名心理学家弗兰克告诉我们，需求意义,0
q005,大学生的情绪有什么特点？,p7_c0,7,10000,29,华南师范大学学生心理健康教研室 —8— 116. 霍妮的人格理论认为神经症水平的人际交往模式分成三种方式： （1）接近人——“如果我顺从，我就不会得到伤害”； （2）远离人——“如果我后退，没有任何人能够伤害我”； （3）反对人——“如果我,0
q006,自我意识是什么？,p3_c1,3,23,3,互制约，统一于个体的自我意识之中。自我认识涉及的是“我是一个什么样的人”、 “我为什么是这样的人”等问题。 51. 社会自我是个体对自己社会属性的意识，即对自己在各种社会关系中的角色、地位、 权利、人际距离等方面的认识、评价和体验。如“我受,1
q006,自我意识是什么？,p9_c0,9,3,10000,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,0
q006,自我意识是什么？,p3_c0,3,19,7,华南师范大学学生心理健康教研室 —4— 45. 自我意识偏差的心理调适分为正确认识自我、悦纳自我、有效控制自我、不断超越自 我。其中，“正确认识自我”中分为四个步骤： （1）建立多元自我的概念； （2）建立合理的比较体系； （3）经常自我反,1
q006,自我意识是什么？,p8_c1,8,7,10000,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
q006,自我意识是什么？,p5_c0,5,15,23,华南师范大学学生心理健康教研室 —6— 65. 投射自我又称镜中我，是个体想象中他人对自己的看法、他人心目中自己的形象、他 人对自己的评价，以及由此而产生的自我感。 66. 理想自我又称理想我，是个体想要达到的完美形象，如个人对将来的期待，,1
q006,自我意识是什么？,p10_c0,10,11,10000,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,0
q006,自我意识是什么？,p2_c1,2,10000,11,根据他人对自己的看法和评价而发展起对自己的认识，这个过程在人的一生中一直进 行着。 41. 大学生对自己的认知可以通过以下四个方面逐渐形成： 自己的行为、他人的反馈、反射性评价、社会比较。 42. 大学阶段是走向社会的准备和过渡阶段，大学生,1
q006,自我意识是什么？,p4_c0,4,10000,15,华南师范大学学生心理健康教研室 —5— 52. 有效控制自我是健全自我意识的根本途径，有效地进行自我控制是为了保证自我的健 康发展。有效控制自我可以分为四个方面： （1）培养顽强的意志力； （2）塑造健全人格； （3）积极参加社会实践； （,1
q006,自我意识是什么？,p2_c0,2,29,27,华南师范大学学生心理健康教研室 —3— 31. 一般而言，权威型是对孩子最有利的一种教养方式。家长会给孩子提出合理的要求， 并对孩子的行为进行适当的限制。 32. 放纵型的家长对孩子表现出很多的爱与期待，但是很少对孩子提要求和对其行为进行 ,0
q006,自我意识是什么？,p4_c1,4,10000,19,验到更多的疲倦、焦虑和内疚等，甚至使负性情绪和拖延形成恶性循环。 60. 当否定性评价过多时，学生会产生“习得性无助”，这是一种严重的自我意识障碍， 它抑制了人改造与影响环境的能力，强化了顺从甚至屈从，并转化为一种内在信念。 有很多在中学时,0
q006,自我意识是什么？,p18_c0,18,27,10000,华南师范大学学生心理健康教研室 —19— 235. CASVE 循环的五个阶段是：沟通、分析、综合、评估和执行。 沟通（Communication）：识别问题的存在，找出差距。沟通是CASVE 决策过程中 的第一个阶段，人们意识到问题的存在,0
q006,自我意识是什么？,p1_c0,1,10000,29,华南师范大学学生心理健康教研室 —2— 16. 大学生心理问题产生的个体原因有： 心理发展的矛盾性；心理成熟滞后，心理韧性不强；交往能力欠缺，缺乏社会支持。 17. 为了让人们意识到心理健康的重要性，1989 年，世界卫生组织提出了21 世,0
q007,怎么进行自我认识？,p3_c1,3,19,3,互制约，统一于个体的自我意识之中。自我认识涉及的是“我是一个什么样的人”、 “我为什么是这样的人”等问题。 51. 社会自我是个体对自己社会属性的意识，即对自己在各种社会关系中的角色、地位、 权利、人际距离等方面的认识、评价和体验。如“我受,1
q007,怎么进行自我认识？,p9_c0,9,3,10000,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,0
q007,怎么进行自我认识？,p4_c1,4,7,15,验到更多的疲倦、焦虑和内疚等，甚至使负性情绪和拖延形成恶性循环。 60. 当否定性评价过多时，学生会产生“习得性无助”，这是一种严重的自我意识障碍， 它抑制了人改造与影响环境的能力，强化了顺从甚至屈从，并转化为一种内在信念。 有很多在中学时,1
q007,怎么进行自我认识？,p2_c1,2,27,7,根据他人对自己的看法和评价而发展起对自己的认识，这个过程在人的一生中一直进 行着。 41. 大学生对自己的认知可以通过以下四个方面逐渐形成： 自己的行为、他人的反馈、反射性评价、社会比较。 42. 大学阶段是走向社会的准备和过渡阶段，大学生,1
q007,怎么进行自我认识？,p3_c0,3,15,11,华南师范大学学生心理健康教研室 —4— 45. 自我意识偏差的心理调适分为正确认识自我、悦纳自我、有效控制自我、不断超越自 我。其中，“正确认识自我”中分为四个步骤： （1）建立多元自我的概念； （2）建立合理的比较体系； （3）经常自我反,0
q007,怎么进行自我认识？,p8_c1,8,11,10000,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
q007,怎么进行自我认识？,p10_c0,10,23,23,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,0
q007,怎么进行自我认识？,p4_c0,4,10000,19,华南师范大学学生心理健康教研室 —5— 52. 有效控制自我是健全自我意识的根本途径，有效地进行自我控制是为了保证自我的健 康发展。有效控制自我可以分为四个方面： （1）培养顽强的意志力； （2）塑造健全人格； （3）积极参加社会实践； （,0
q007,怎么进行自我认识？,p17_c0,17,10000,27,华南师范大学学生心理健康教研室 —18— 227. 大学的价值： （1）大学给我们提供了一个良好的个人成长环境。我们在这里脱去稚气，成为一个 更为全面发展的人，为未来长远的人生打下坚实的基础。大学是一个让自我学会独立 的阶段。大学让我们更广,0
q007,怎么进行自我认识？,p11_c0,11,29,10000,华南师范大学学生心理健康教研室 —12— 148. 信息爆炸下究竟会产生哪些焦虑？ 其一，信息爆炸让我们感觉要学东西太多，时间不够用。 其二，要学习的东西太多，不知从何下手。 149. 越是背求自己要集中注意力，注意力越是跑到了“怕被干扰”,0
q007,怎么进行自我认识？,p18_c1,18,10000,29,缺乏自信、自负、盲目从众依赖等心理问题，有一个重要原因，是因为他们没有一个 明确合理的求职目标，导致他们在求职过程中不知道什么样的工作适合自己，自然也 难以找到满意的工作，从而引发种种消极心态。 240. “备准”思维是没有明确目标，走一步,0
q008,大学常见的心理问题有哪些？,p0_c0,0,11,3,华南师范大学学生心理健康教研室 —1— 大学生心理健康教育知识概要 1. 当前大学的心理健康问题具体表现在以下几个方面：对大学环境的不适应、恋爱与性 心理产生问题、自我定位的迷茫与困惑、求职择业的压力难以应对。 2. 大一生活适应的困惑期：,1
q008,大学常见的心理问题有哪些？,p10_c0,10,3,10000,华南师范大学学生心理健康教研室 —11— 142. 大学生要先深入了解自己的专业核心课程、发展现状、就业前景等，然后再来判定该 专业是不是真的是自己所认为的那样，也确定自己是不是真的喜欢该专业。 143. 智力因素与非智力因素在学习中发挥着,0
q008,大学常见的心理问题有哪些？,p1_c0,1,15,7,华南师范大学学生心理健康教研室 —2— 16. 大学生心理问题产生的个体原因有： 心理发展的矛盾性；心理成熟滞后，心理韧性不强；交往能力欠缺，缺乏社会支持。 17. 为了让人们意识到心理健康的重要性，1989 年，世界卫生组织提出了21 世,0
q008,大学常见的心理问题有哪些？,p9_c0,9,7,10000,华南师范大学学生心理健康教研室 —10— 136. 学习焦虑是一种一般性的不安、担忧和紧张感，其原因在于害怕学习失败、担心不能 完成学习任务及随之而来的自尊、自我效能感的丧失。但实际上，适度的学习焦虑是 可以促进学习的。 137. 1908,1
q008,大学常见的心理问题有哪些？,p8_c1,8,19,15,（2）学习态度不端正：现在的大学生中，很多人对自己“为什么要学习”缺乏正确 的认识，因而在学习中，缺乏积极主动的学习心态，表现为遇到上课老师点名的课就 去听，课后就是玩游戏、听歌等；平时不主动消化学习内容，把希望寄托在考前的画 重点上。 （,0
q008,大学常见的心理问题有哪些？,p14_c0,14,10000,11,华南师范大学学生心理健康教研室 —15— 185. 问题中心策略的典型做法：收集信息、制定计划、权衡办法、寻求帮助等。 186. 情绪中心策略的典型做法：通过调节自身情绪来应对压力，包括情绪宣泄、寻求情感 支持、改变认知角度、放松训练、转移,0
